Gene	Category	DAN	pDNA
AKT1	Other	-0.0772948698181877	-0.22330504767155
AKT1S1	Other	0.121941294993445	-0.191556644481576
AKT2	Other	-1.00480576434428	-1.02128594333027
AKT3	Other	-0.0976569999564709	-0.265692769653835
AKTIP	Other	-0.389320382201934	-0.389471543523695
ALAD	Other	-0.0435572079798379	0.0144272937559316
ALAS1	Other	0.18796619080207	0.000138095259547052
ALAS2	Other	0.0373328484985774	-0.252616862185129
ALB	Other	0.882871265227573	0.821068299963799
ALCAM	Other	0.896617308522475	0.87196578019253
ALDH16A1	Other	-0.119015406766127	-0.336165943024417
ALDH18A1	Other	0.0322874216661609	0.175126418181459
ALDH1A1	Other	0.549531568932431	0.976186376047756
ALDH1A2	Other	0.432677383988421	0.367213875641872
ALDH1A3	Other	0.0504444976520774	-0.146561047951819
ALDH1B1	Other	0.00188456685438107	-0.0385083017005367
ALDH1L1	Other	0.131284783588306	-0.011668258188944
ALDH1L2	Other	1.29570364822571	1.00433456440074
ALDH2	Other	0.128934779616851	0.0308629081870706
ALDH3A1	Other	1.05493482503151	1.03392413931613
ALDH3A2	Other	0.140713942972128	0.205184869231617
ALDH3B2	Other	-0.160559801816338	-0.133343172742278
ALDH4A1	Other	0.0891264099978338	-0.0457989292548964
ALDH5A1	Other	0.146455727264226	-0.035077772153203
ALDH6A1	Other	0.35935223103592	0.46014543954472
ALDH7A1	Other	0.237904423880105	0.128640977694145
ALDH8A1	Other	0.238925799166988	0.13284895301233
ALDH9A1	Other	-0.233950089709172	-0.526001816233834
ALDOA	Other	-0.841258351999081	0.273957451784102
ALDOB	Other	0.234185112298323	0.0663434702284427
ALDOC	Other	0.362478612395015	0.456664964689782
ALG1	Other	-0.721003662684863	-0.0470492701315141
ALG10	Other	0.390263517166794	0.577298547456466
ALG10B	Other	-0.413697605555437	-0.490302741224904
ALG11	Other	-0.716501816912854	0.379016115012053
ALG12	Other	-0.65764233052808	-0.418189240873408
ALG13	Other	-1.07730582794771	0.0983617955022979
ALG14	Other	-0.431045496056061	0.309359804535055
ALG1L	Other	-0.12269838909943	0.491421174408129
ALG2	Other	-1.0108911441072	-0.10268578710088
ALG3	Other	0.360198293504482	0.272773004306552
ALG5	Other	0.0715369277441218	0.19719440404524
ALG6	Other	-0.188026201867058	0.20730501812493
ALG8	Other	0.575093210956579	1.04148389859593
ALG9	Other	0.631439190004167	0.900389652475673
