Gene	Category	DAN-G-311Cas9 Rep A p6	DAN-G-311Cas9 Rep B p6	DAN-G-311Cas9 Rep C p6	DAN-G-311Cas9 Rep D p6
ACTR3B	Other	0.0996442298473626	0.171903821686381	0.259864867747296	0.177257903840797
ACTR3C	Other	-0.00388922932333174	-0.204677529607633	-0.137689056131172	-0.0313824823570033
ACTR5	Other	-0.934303294549745	-0.943947429995661	-0.876470368046077	-0.787991313257638
ACTR6	Other	-0.728457099392512	-0.712723317071237	-0.870018036933639	-0.908855245049417
ACTR8	Other	-0.950162194291387	-1.17452748501902	-0.868023008132543	-1.05125103843316
ACTRT1	Nonessential	0.157824638745767	0.0664742632153964	-0.0291043483280891	0.0319706785696715
ACTRT2	Other	0.188856136450789	0.260603467259468	0.257082675329683	0.183641064756931
ACTRT3	Other	0.0329597824441609	0.243274697283495	0.147370790202449	0.157824907564839
ACVR1	Other	0.205895423068212	0.169950635568165	-0.0472657099728911	0.126277134565795
ACVR1B	Other	0.00545717992211031	0.0741754216002239	0.0361250769159039	0.085704100815282
ACVR1C	Other	0.195394359021777	0.0724064367813168	0.0170281484910424	0.0115985643957816
ACVR2A	Other	0.0916361953767274	0.0884932162887194	0.170790758986925	0.136381505098003
ACVR2B	Other	0.310854567780012	0.36617015082452	0.327780411785705	0.419325902131376
ACVRL1	Other	0.190746375123328	0.174394625798222	0.168142361862696	0.140423963604004
ACY1	Other	0.119023620838628	0.0462008414238675	0.138835997586899	0.0930137403726817
ACY3	Other	0.218284189060763	0.250748117578382	0.261005357890662	0.202725819591991
ACYP1	Other	-0.148268156849242	-0.0481874153167953	-0.040043761491189	-0.078611041486387
ACYP2	Other	0.290944013592529	0.273083775900624	0.0863919808069311	0.13713770426952
ADA	Other	0.317206295440839	0.157040131662513	0.195911522192233	0.229521942025338
ADAD1	Nonessential	-0.034619795704389	-0.042726877971085	-0.0276710740745576	0.0274079605672588
ADAD2	Other	0.181895631999815	0.316888545993763	0.169368847982433	-0.0188592631472987
ADAL	Other	-0.0989505473033122	-0.149236238039447	-0.112512239151548	-0.187338215112149
ADAM10	Other	0.0877068584060757	-0.0285537586928574	0.0355267185956344	0.171447873108672
ADAM11	Other	-0.0973305919755441	-0.281711667834016	-0.21990273777888	-0.18454418953005
ADAM12	Other	0.0669852118271864	0.305684683267397	0.216725556580324	0.182186153601363
ADAM15	Other	-0.0330760907446553	-0.0421795138831805	-0.112241686322778	0.0381121331351346
ADAM17	Other	0.209717060527299	0.263569002327077	0.101475864804152	0.253525073673415
ADAM18	Nonessential	-0.25658559080613	-0.0701171879879069	-0.14847171690103	-0.146141183171586
ADAM19	Other	0.244005809877702	0.261366332641499	0.220644672719185	0.348086726427844
ADAM2	Nonessential	-0.269534578133315	-0.396547122720266	-0.271278943831566	-0.214225907887173
ADAM20	Nonessential	0.0892571345875734	0.10205710575466	0.295493716375637	0.0640902342822081
ADAM21	Other	-0.0965207620575158	0.0309447418829052	0.1310058348601	0.0943883892922991
ADAM22	Other	0.0640508369261395	-0.0621758513571434	0.218895263086256	0.173951031903849
ADAM23	Other	0.0201018657155387	-0.113493297659501	-0.11876477385489	0.128621090236267
ADAM28	Other	0.255630140312838	0.334435466113006	0.114710897127929	0.18719074716049
ADAM29	Other	0.40585787145517	0.29153344067768	0.30242772365547	0.391027806037098
ADAM30	Nonessential	-0.166377090298889	-0.204040875709158	-0.0065401417340427	-0.185312305130631
ADAM32	Other	0.134337309497596	-0.0178601476730559	0.02559054061605	0.115951993789036
