Gene	Category	CCK	pDNA
ADSL	Other	-0.102486432214542	-0.00820172504183123
ADSS	Other	0.0262764777643595	0.175698926955792
ADSSL1	Other	-0.72393570780038	-0.625064983146141
ADTRP	Other	0.275471850758536	0.197562258988732
AEBP1	Other	0.88405371732502	0.894859911154183
AEBP2	Other	0.97277312901879	1.12669018651966
AEN	Other	0.272452118720346	0.178377085018352
AES	Other	0.279889040666779	0.376986936553727
AFAP1	Other	0.37586008404471	0.347095520555257
AFAP1L1	Other	-0.302624401583373	-0.300732323506471
AFAP1L2	Other	0.422013901927672	0.474429491201205
AFF1	Other	0.303292941332616	0.191984128816916
AFF2	Other	-0.00470631131540924	-0.24212744557183
AFF3	Other	-0.323386635007202	-0.139239794673024
AFF4	Other	0.375045744160255	0.357653379385614
AFG3L2	Other	-0.245584541118656	-0.192512987490625
AFM	Nonessential	0.127156809928213	0.212643656935196
AFMID	Other	0.450199426234175	0.400030985620304
AFP	Other	0.0858340567755604	0.147216394088391
AFTPH	Other	-0.255867641630908	-0.222380436871682
AGA	Other	0.719393296851452	0.635287786551083
AGAP1	Other	0.627307242939547	0.557994466621694
AGAP2	Other	-0.195152841285764	-0.0222805065639272
AGAP3	Other	0.115997455473787	0.0707688703770797
AGAP4	Other	1.6453456613026	2.34979498017805
AGAP5	Other	0.474501501931056	0.566531735725356
AGAP6	Other	0.133069447725267	0.362688396249554
AGAP7P	Other	1.04213280068338	1.36018338252684
AGAP9	Other	0.597893642118194	0.883265128004071
AGBL2	Other	0.00463281125399404	-0.011230394613396
AGBL3	Other	1.1365298810235	1.20574276517979
AGBL4	Other	0.431561500431111	0.456456763326864
AGBL5	Other	0.567712642349624	0.677935271115217
AGER	Other	0.865629200099585	0.762423670548426
AGFG1	Other	0.825526489004013	0.812423107931795
AGFG2	Other	-0.126388857590007	0.063239619225462
AGGF1	Other	-0.387724236841527	-0.407156462581975
AGK	Other	0.740514743419978	0.713672897674783
AGL	Other	0.541071504973926	0.599356864093102
AGMAT	Other	-0.342791933709224	-0.328375812632213
AGMO	Other	0.38921832219341	0.395372283972752
AGO1	Other	-0.172250591863216	-0.017677094084256
AGO2	Other	-0.0808570476692838	-0.0803296885502968
AGPAT1	Other	-0.343994815875066	-0.228714703874684
AGPAT2	Other	-0.478220264456446	-0.541587986512329
AGPAT3	Other	0.0379903291693332	0.10192320231387
AGPAT4	Other	-0.128916119890917	-0.0776552950996383
AGPAT5	Other	0.187827531432873	0.0502514831988524
AGPAT6	Other	0.212694058294781	0.127041875081905
AGPAT9	Other	0.743875131660444	0.842625081537848
AGPS	Other	-0.01761690604912	0.101915848714645
AGR2	Other	0.679352752240558	0.653414761944435
AGR3	Other	1.42421060286944	1.39066707179873
AGRN	Other	0.151035728635112	0.237934119235581
AGRP	Other	0.518859469903191	0.42438261967223
AGT	Other	0.208261948710027	0.179640775106192
AGTPBP1	Other	-0.0579236405312068	-0.273834956995876
AGTR1	Other	-0.181044734627903	-0.033456238434758
AGTR2	Other	-0.966362233210049	-0.949055769525288
AGTRAP	Other	0.704481209358492	0.541803353931685
AGXT	Other	0.207277571807008	0.197320691954004
AGXT2	Other	-0.442591556474336	-0.467047087967031
AHCTF1	Other	0.594931534775576	0.679964166484359
AHCY	Other	-0.144144838842482	0.00374601184998135
AHCYL1	Other	0.999283689885057	0.878701003590222
AHCYL2	Other	0.816644293591939	0.846188072462438
AHDC1	Other	0.208391983911597	0.267328654664519
AHI1	Other	0.217336470525857	0.283260411797352
AHNAK	Other	0.370617310510384	0.308973463034019
AHNAK2	Other	0.0127211419068203	-0.00212039817373511
