Gene	Category	CCK-81-311cas9 Rep A p2	CCK-81-311cas9 Rep B p2	CCK-81-311cas9 Rep C p2	pDNA_0	pDNA_2
ADAM10	Other	0.245670375385307	0.263500251095466	0.138413100183691	0.394856728924069	0.302446511109612
ADAM11	Other	0.977529868834111	0.871941176634618	0.790059787958397	0.935358635384479	0.837504378702697
ADAM12	Other	-0.00265797693048564	-0.0369485044355195	-0.100741421452148	0.0500482138500743	-0.0243658369478094
ADAM15	Other	0.477715800193053	0.485446122841541	0.456454333623598	0.319786406022656	0.509541418138348
ADAM17	Other	0.329287460420306	0.172336316811539	0.133066642529107	0.193582436394102	0.122508160102784
ADAM18	Nonessential	-0.295578859248567	-0.321108985545747	-0.375419392888674	-0.301484195338856	-0.399303080101253
ADAM19	Other	0.244000368026143	0.243904100367703	0.332171018886428	0.00422357034309118	0.0505835967256657
ADAM2	Nonessential	0.76285784821191	0.746568587287812	0.746717145490156	0.826639719011048	0.765316910069022
ADAM20	Nonessential	0.165878873645207	-0.0502285906480814	0.00924001383210092	0.0476601474808517	0.029167874001086
ADAM21	Other	0.487739003435478	0.684324477018475	0.652211716137844	0.577181460318512	0.527751153758038
ADAM22	Other	0.168724315403373	0.256526772994298	0.116815822990753	0.426724801479156	0.169386778445829
ADAM23	Other	0.856750889603907	0.888548706454716	0.862488069562915	0.880975084291968	0.97198862719766
ADAM28	Other	0.498242988153316	0.502150121954635	0.621366261466832	0.340526400775045	0.337976872638618
ADAM29	Other	0.707118040499254	0.504751475587087	0.673652638370175	0.588603297199009	0.368878891669431
ADAM30	Nonessential	-0.122632627223589	-0.246335775292863	-0.242364577697742	-0.0919442955804043	-0.112323221443471
ADAM32	Other	0.381104116731834	0.391229620635447	0.406192173043144	0.270118749330661	0.331346984973755
ADAM33	Other	-0.12951501016941	-0.0750587322841997	-0.242205298502406	-0.13717927837048	-0.0890461851966611
ADAM7	Other	0.327838095257285	0.33255766841035	0.298203807713362	0.294669144067479	0.285319845999598
ADAM8	Other	-0.936770728429642	-0.837172153461237	-0.826457829569712	-0.869356101832995	-0.907502078728906
ADAM9	Other	0.387507419909174	0.483768330512695	0.476628317670544	0.416028696446523	0.278607429077406
ADAMDEC1	Other	0.225700961856436	0.227022932903585	0.175698512730289	0.0941400830888802	0.0885650589894199
ADAMTS1	Other	-0.27173351744676	-0.290208928877217	-0.134470763032966	-0.0385815497258216	-0.0507439388403627
ADAMTS10	Other	0.091096037629487	0.17188003624972	0.161725230767143	0.367648633047375	0.115404402531052
ADAMTS12	Other	-0.555848928076651	-0.625681805161742	-0.6382251117507	-0.701065546769759	-0.642180992846952
