sgRNA,Gene,Category
ALDOB-3,ALDOB,Other
ALDOB-4,ALDOB,Other
ALDOC-1,ALDOC,Other
ALDOC-2,ALDOC,Other
ALDOC-3,ALDOC,Other
ALDOC-4,ALDOC,Other
AKR1B1-1,AKR1B1,Other
AKR1B1-2,AKR1B1,Other
AKR1B1-3,AKR1B1,Other
AKR1B1-4,AKR1B1,Other
ALK-1,ALK,Other
ALK-2,ALK,Other
ALK-3,ALK,Other
ALK-4,ALK,Other
ALOX12-1,ALOX12,Other
ALOX12-2,ALOX12,Other
ALOX12-3,ALOX12,Other
ALOX12-4,ALOX12,Other
ALOX5-1,ALOX5,Other
ALOX5-2,ALOX5,Other
ALOX5-3,ALOX5,Other
ALOX5-4,ALOX5,Other
ALOX5AP-1,ALOX5AP,Other
ALOX5AP-2,ALOX5AP,Other
ALOX5AP-3,ALOX5AP,Other
ALOX5AP-4,ALOX5AP,Other
ALOX12B-1,ALOX12B,Other
ALOX12B-2,ALOX12B,Other
ALOX12B-3,ALOX12B,Other
ALOX12B-4,ALOX12B,Other
ALOX15-1,ALOX15,Other
ALOX15-2,ALOX15,Other
ALOX15-3,ALOX15,Other
ALOX15-4,ALOX15,Other
ALOX15B-1,ALOX15B,Other
ALOX15B-2,ALOX15B,Other
ALOX15B-3,ALOX15B,Other
ALOX15B-4,ALOX15B,Other
ALPI-1,ALPI,Other
ALPI-2,ALPI,Other
ALPI-3,ALPI,Other
ALPI-4,ALPI,Other
ALPL-1,ALPL,Other
ALPL-2,ALPL,Other
ALPL-3,ALPL,Other
ALPL-4,ALPL,Other
ALPP-1,ALPP,Other
ALPP-2,ALPP,Other
ALPP-3,ALPP,Other
ALPP-4,ALPP,Other
ALPPL2-1,ALPPL2,Other
ALPPL2-2,ALPPL2,Other
ALPPL2-3,ALPPL2,Other
ALPPL2-4,ALPPL2,Other
ALX3-1,ALX3,Other
ALX3-2,ALX3,Other
ALX3-3,ALX3,Other
ALX3-4,ALX3,Other
AMBN-1,AMBN,Other
AMBN-2,AMBN,Other
AMBN-3,AMBN,Other
AMBN-4,AMBN,Other
AMBP-1,AMBP,Other
AMBP-2,AMBP,Other
AMBP-3,AMBP,Other
AMBP-4,AMBP,Other
AMD1-1,AMD1,Other
AMD1-2,AMD1,Other
AMD1-3,AMD1,Other
AMD1-4,AMD1,Other
AMELX-1,AMELX,Other
AMELX-2,AMELX,Other
AMELX-3,AMELX,Other
AMELX-4,AMELX,Other
AMELY-1,AMELY,Other
AMELY-2,AMELY,Other
AMELY-3,AMELY,Other
AMELY-4,AMELY,Other
AMFR-1,AMFR,Other
AMFR-2,AMFR,Other
AMFR-3,AMFR,Other
AMFR-4,AMFR,Other
AMH-1,AMH,Other
AMH-2,AMH,Other
AMH-3,AMH,Other
AMH-4,AMH,Other
AMHR2-1,AMHR2,Other
AMHR2-2,AMHR2,Other
AMHR2-3,AMHR2,Other
AMHR2-4,AMHR2,Other
AMPD1-1,AMPD1,Other
AMPD1-2,AMPD1,Other
AMPD1-3,AMPD1,Other
AMPD1-4,AMPD1,Other
AMPD2-1,AMPD2,Other
AMPD2-2,AMPD2,Other
AMPD2-3,AMPD2,Other
AMPD2-4,AMPD2,Other
AMPD3-1,AMPD3,Other
AMPD3-2,AMPD3,Other
AMPD3-3,AMPD3,Other
AMPD3-4,AMPD3,Other
AMPH-1,AMPH,Other
AMPH-2,AMPH,Other
AMPH-3,AMPH,Other
AMPH-4,AMPH,Other
BIN1-1,BIN1,Other
BIN1-2,BIN1,Other
BIN1-3,BIN1,Other
BIN1-4,BIN1,Other
AMT-1,AMT,Other
AMT-2,AMT,Other
AMT-3,AMT,Other
AMT-4,AMT,Other
AMY1A-1,AMY1A,Other
AMY1A-2,AMY1A,Other
AMY1A-3,AMY1A,Other
AMY1A-4,AMY1A,Other
AMY1B-1,AMY1B,Other
AMY1B-2,AMY1B,Other
AMY1B-3,AMY1B,Other
AMY1B-4,AMY1B,Other
AMY1C-1,AMY1C,Other
AMY1C-2,AMY1C,Other
AMY1C-3,AMY1C,Other
AMY1C-4,AMY1C,Other
AMY2A-1,AMY2A,Other
AMY2A-2,AMY2A,Other
AMY2A-3,AMY2A,Other
AMY2A-4,AMY2A,Other
AMY2B-1,AMY2B,Other
AMY2B-2,AMY2B,Other
AMY2B-3,AMY2B,Other
AMY2B-4,AMY2B,Other
ANG-1,ANG,Other
ANG-2,ANG,Other
ANG-3,ANG,Other
ANG-4,ANG,Other
ANGPT1-1,ANGPT1,Other
ANGPT1-2,ANGPT1,Other
ANGPT1-3,ANGPT1,Other
ANGPT1-4,ANGPT1,Other
ANGPT2-1,ANGPT2,Other
ANGPT2-2,ANGPT2,Other
ANGPT2-3,ANGPT2,Other
ANGPT2-4,ANGPT2,Other
ANK1-1,ANK1,Other
ANK1-2,ANK1,Other
ANK1-3,ANK1,Other
ANK1-4,ANK1,Other
ANK2-1,ANK2,Other
ANK2-2,ANK2,Other
ANK2-3,ANK2,Other
ANK2-4,ANK2,Other
ANK3-1,ANK3,Other
ANK3-2,ANK3,Other
ANK3-3,ANK3,Other
ANK3-4,ANK3,Other
ANPEP-1,ANPEP,Other
ANPEP-2,ANPEP,Other
ANPEP-3,ANPEP,Other
ANPEP-4,ANPEP,Other
SLC25A4-1,SLC25A4,Other
SLC25A4-2,SLC25A4,Other
SLC25A4-3,SLC25A4,Other
SLC25A4-4,SLC25A4,Other
SLC25A5-1,SLC25A5,Other
SLC25A5-2,SLC25A5,Other
SLC25A5-3,SLC25A5,Other
SLC25A5-4,SLC25A5,Other
SLC25A6-1,SLC25A6,Other
SLC25A6-2,SLC25A6,Other
